person,steps
nathan,18203
nathan,13997
nathan,51299
nathan,3706
nathan,8756
nathan,5889
nathan,3556
nathan,5307
nathan,3355
nathan,3128
nathan,3114
nathan,10187
nathan,3221
nathan,4115
nathan,3924
nathan,3505
nathan,15796
nathan,1383
nathan,7267
nathan,4780
nathan,3745
nathan,4095
nathan,3111
nathan,14616
nathan,950
nathan,9967
nathan,15311
nathan,4477
nathan,3084
nathan,9951
nathan,31932
nathan,3202
nathan,5328
nathan,4517
nathan,3751
nathan,3757
nathan,958
nathan,25403
nathan,2166
nathan,5940
nathan,5630
nathan,6470
nathan,4453
nathan,9433
nathan,14623
nathan,1272
nathan,3670
nathan,12520
nathan,12218
nathan,9355
nathan,6869
nathan,14509
nathan,3552
nathan,3110
nathan,6353
nathan,3010
nathan,3469
nathan,5501
nathan,12013
nathan,2840
nathan,9331
nathan,6707
nathan,5476
nathan,1205
nathan,5222
nathan,982
nathan,641
nathan,15248
nathan,7037
nathan,4641
nathan,5292
nathan,8841
nathan,9425
nathan,2381
nathan,2122
nathan,968
nathan,1877
nathan,1599
nathan,1488
nathan,16692
nathan,8525
nathan,1106
nathan,1615
nathan,2636
nathan,2398
nathan,5026
nathan,14950
nathan,10858
nathan,14428
nathan,1290
nathan,8288
nathan,6621
nathan,11607
nathan,4611
nathan,6561
nathan,7615
nathan,11128
nathan,4318
nathan,4273
nathan,6750
nathan,4467
nathan,9575
nathan,6317
nathan,4213
nathan,4920
nathan,3979
nathan,8714
nathan,5191
nathan,4964
nathan,9633
nathan,8858
nathan,3421
nathan,12982
nathan,7436
nathan,8957
nathan,16845
nathan,6086
nathan,3207
nathan,5954
nathan,8838
nathan,9091
nathan,5424
nathan,866
nathan,6315
nathan,1240
nathan,17888
nathan,13316
nathan,7774
nathan,9930
nathan,7646
nathan,10531
nathan,10140
nathan,10516
nathan,19992
nathan,8856
nathan,10232
nathan,12774
nathan,31073
nathan,11647
nathan,15117
nathan,12325
nathan,6331
nathan,15460
nathan,11745
nathan,2435
nathan,2770
nathan,4313
nathan,8926
nathan,573
nathan,8733
nathan,13219
nathan,9182
nathan,2027
nathan,6420
nathan,3244
nathan,740
nathan,3214
nathan,4593
nathan,12757
nathan,12166
nathan,10611
nathan,2312
nathan,4200
nathan,12790
nathan,10330
nathan,5889
nathan,10623
nathan,6887
nathan,6412
nathan,6385
nathan,14024
nathan,13560
nathan,10499
nathan,23516
nathan,10274
nathan,21962
nathan,16292
nathan,17887
nathan,13111
nathan,10118
nathan,11313
nathan,10293
nathan,14166
nathan,17411
nathan,13048
nathan,11508
nathan,13724
nathan,10009
nathan,10042
nathan,13509
nathan,10600
nathan,14527
nathan,10255
nathan,13399
nathan,10470
nathan,4946
nathan,18439
nathan,2515
nathan,12934
nathan,9602
nathan,7780
nathan,2687
nathan,6844
nathan,5330
nathan,17509
nathan,8442
nathan,3141
nathan,7540
nathan,3946
nathan,6553
nathan,31595
nathan,9095
nathan,16195
nathan,11450
nathan,10157
nathan,11296
nathan,12506
nathan,7069
nathan,12233
nathan,22547
nathan,19810
nathan,9650
nathan,11171
nathan,8610
nathan,5751
nathan,13316
nathan,7452
nathan,4916
nathan,1905
nathan,6865
nathan,12862
nathan,8943
nathan,4798
nathan,10396
nathan,4316
nathan,5478
nathan,7799
nathan,13866
nathan,11884
nathan,18007
nathan,7749
nathan,1973
nathan,7959
nathan,5274
nathan,6094
nathan,7881
nathan,12025
nathan,5474
nathan,5021
nathan,7835
nathan,5253
nathan,13087
nathan,7033
nathan,6499
nathan,7761
nathan,2686
nathan,13395
nathan,10618
nathan,5694
nathan,8038
nathan,19006
nathan,25479
nathan,7014
nathan,11965
nathan,11401
nathan,13541
nathan,11239
nathan,11016
nathan,15063
nathan,4961
nathan,2424
nathan,15071
nathan,18551
nathan,13252
nathan,17358
nathan,13492
nathan,10907
nathan,1131
nathan,2524
nathan,1667
nathan,5658
nathan,19427
nathan,15486
nathan,1195
nathan,16645
nathan,13583
nathan,6961
nathan,15746
nathan,9460
nathan,18863
nathan,4634
nathan,19392
nathan,5776
nathan,11131
nathan,7496
nathan,12446
nathan,12083
nathan,18996
nathan,5274
nathan,5814
nathan,10431
nathan,6247
nathan,26751
nathan,25011
nathan,10005
nathan,11022
nathan,14614
nathan,5182
nathan,5449
nathan,13732
nathan,18555
nathan,3059
nathan,21039
nathan,7619
nathan,6088
nathan,15018
nathan,16544
nathan,20166
nathan,10002
nathan,17966
nathan,8086
nathan,16148
nathan,17477
nathan,13545
nathan,18637
nathan,10769
nathan,30380
nathan,6628
nathan,12614
nathan,4364
nathan,16317
nathan,31172
nathan,1404
nathan,15010
nathan,7682
nathan,14897
nathan,2285
nathan,12259
nathan,11845
nathan,1730
nathan,17847
nathan,12282
nathan,12366
nathan,10400
nathan,10808
nathan,15816
nathan,1510
nathan,4784
nathan,11489
nathan,17017
nathan,5117
nathan,10508
nathan,14541
nathan,24177
nathan,10016
nathan,5338
nathan,12712
nathan,14437
nathan,13449
nathan,22172
nathan,4632
nathan,18433
nathan,12724
nathan,20015
nathan,10017
nathan,18770
nathan,16430
nathan,10953
nathan,16883
nathan,8801
nathan,20005
nathan,13956
nathan,10227
nathan,31900
nathan,1969
nathan,11608
nathan,8508
nathan,15528
nathan,16097
nathan,18704
nathan,13473
nathan,18499
nathan,20025
nathan,8667
nathan,17420
nathan,8569
nathan,21624
nathan,21288
nathan,5578
nathan,18277
nathan,5941
nathan,6119
nathan,15299
nathan,6630
nathan,20454
nathan,35934
nathan,20619
nathan,11292
nathan,18921
nathan,8463
nathan,10580
nathan,2540
nathan,14115
nathan,5900
nathan,7443
nathan,17108
nathan,11084
nathan,18385
nathan,16522
nathan,26783
nathan,18251
nathan,6333
nathan,14249
nathan,7501
nathan,19999
nathan,47223
nathan,12831
nathan,12199
nathan,13608
nathan,19139
nathan,10638
nathan,21294
nathan,15155
nathan,13704
nathan,4986
nathan,4530
nathan,18701
nathan,18956
nathan,8839
nathan,28381
nathan,4255
nathan,11114
nathan,10434
nathan,11495
nathan,19538
nathan,7427
nathan,17031
nathan,2223
nathan,13009
nathan,14811
nathan,12828
nathan,18135
nathan,7613
nathan,27165
nathan,1573
nathan,15681
nathan,10973
nathan,10823
nathan,15629
nathan,13712
nathan,25025
nathan,3791
nathan,2567
nathan,11973
nathan,6188
nathan,3347
nathan,21990
nathan,2555
nathan,11555
nathan,7045
nathan,11010
nathan,7724
nathan,10280
nathan,24075
nathan,8764
nathan,10953
nathan,17898
nathan,15122
nathan,17425
nathan,10001
nathan,20317
nathan,5595
nathan,14903
nathan,23952
nathan,16339
nathan,4895
nathan,10280
nathan,7049
nathan,1865
nathan,13003
nathan,18666
nathan,10084
nathan,28221
nathan,15011
nathan,12437
